,M 1,M 2,M 3,M 4,M 5,M 6,M 7,M 8,M 9,M 10,M 11,M 12,M 13
91,0.963315665,0.265804619,0.183390736,1.946670293,-1.095998727,-0.500081689,-0.101296005,-1.193173535,-1.150559751,-0.369491854,-0.468558003,-1.085684794,NA
92,0.919689489,0.218346888,0.455511475,1.946489839,-0.82058092,-0.076517357,-0.077131508,-1.246506768,-1.163107406,-0.411482253,-1.060618432,-1.132594735,NA
93,0.862892596,0.224354127,0.24169092,1.982038014,-0.612920616,0.061041867,0.01591594,-1.258226331,-1.106371387,-0.222448566,-1.290257612,-1.11698386,NA
94,0.864773837,0.658852598,0.326034444,2.001693846,-0.216382186,0.266627064,0.276786732,-1.347196164,-1.114646873,0.047537304,-1.823315303,-1.030721207,NA
95,0.721730482,0.225704134,0.455511475,1.90927863,-0.023161132,0.557024634,0.277099025,-1.319483203,-0.842017435,0.261112825,-1.881332414,-0.994610127,NA
96,0.764569275,-0.419366492,0.335267535,1.859791384,0.122264306,0.453331219,0.151355689,-1.287085977,-0.66504068,0.605946425,-1.529884153,-0.904564071,NA
97,0.795608968,-0.253764561,0.688430269,1.675362894,0.077735874,0.335606688,-0.423245863,-1.287546514,-0.598455505,0.88976753,-1.277728834,-0.812163687,NA
98,0.594703305,-0.443943323,0.072818626,1.643613754,-2.498119463,-0.729907096,-1.150682932,-0.283916234,-1.452604472,0.735928769,-1.02827239,-0.461372482,NA
99,0.764229531,-0.448863685,-0.092896267,1.978980243,-1.149188132,0.046782145,-0.533429493,-1.192155288,-1.637552598,0.228472065,-1.160810243,-1.228670045,NA
100,0.61378505,0.116779983,-0.248691047,2.024659954,-1.080837508,0.144804759,-0.13127767,-1.206955387,-1.404884476,0.243028558,-1.393805092,-1.246805484,NA
101,0.764229531,-0.078953869,-0.340576742,2.06286055,-1.521871699,-0.155107298,0.566086033,-1.04665749,-1.338197466,-0.303421113,-1.479433049,-1.254151342,NA
102,0.502824617,0.573464257,-0.267919207,2.062211864,-1.359297818,0.152570826,0.838889133,-1.205172394,-1.15059288,-0.025940154,-1.586642727,-1.203318212,NA
103,0.288994699,0.513212867,0.044245223,2.025752227,-1.547474997,0.3543886,0.834192097,-1.284990509,-1.077165731,0.224966421,-1.631524234,-1.16370408,NA
104,0.592029449,0.539180925,0.222269668,2.045664514,-1.474635639,0.482737577,0.657954454,-1.34743076,-1.157884583,0.206260213,-1.465808063,-1.131369505,NA
105,0.432086264,0.737507214,0.362231039,2.07382531,-0.954084921,0.725474374,0.547020004,-1.504207226,-1.14274059,0.506652703,-1.379703845,-1.123336588,NA
106,0.474734091,0.402568302,0.704724645,2.025473724,-0.552720947,0.537508398,0.384355475,-1.372264157,-1.193531946,0.452946114,-1.465715955,-1.156218974,NA
107,0.347240871,0.320392861,0.52294107,2.035134957,-0.293803079,0.480184946,0.416898303,-1.327436432,-1.159298803,0.51835109,-1.459494857,-1.031080309,NA
108,0.137558789,0.411450549,0.702762097,2.008950652,0.020566659,0.463279438,0.734377112,-1.269391068,-0.962339269,0.406740157,-1.53004736,-0.868663163,NA
109,0.249570353,0.254116393,0.803361183,1.915168059,0.11304507,0.325547366,0.865499906,-1.218256979,-0.750707176,0.351862321,-1.618018036,-0.620598595,NA
110,0.036882964,0.332556501,0.777961908,1.967652381,0.329281759,0.388378557,1.143276656,-1.340087099,-0.62852492,0.420466973,-1.297836001,-0.507620437,NA
111,0.502824617,0.507394681,1.025471424,1.926165842,0.348330854,0.308509697,1.20006325,-1.399285403,-0.80388572,0.260872487,-1.62369195,-0.845855608,NA
112,0.492400125,0.591951794,0.607213444,1.886627175,-0.048520288,0.212808171,0.949483964,-1.401493429,-0.950874814,0.286392053,-1.420149943,-1.054668609,NA
113,0.492400125,0.594635125,0.455511475,1.898299714,-0.449152452,0.331265408,0.7616524,-1.388392025,-1.03411454,0.304086127,-1.497096266,-1.033816817,NA
114,1.189874066,0.862541092,0.581420307,1.883251603,-0.842057327,0.443694033,0.251250588,-1.362097961,-0.636005223,0.213377099,-1.648969934,-1.016765494,NA
115,1.013414147,0.906240009,0.713957116,1.883203093,-0.986456899,0.372080597,0.079650025,-1.36958598,-0.534317451,0.068427916,-1.555928936,-0.861512776,NA
116,0.966771573,0.516290304,0.661792531,1.881118197,-0.528028864,0.513173942,0.144170896,-1.353995246,-0.7133841,0.165232013,-1.932405912,-0.720887761,NA
117,0.953545238,0.321807244,0.781162025,1.826501071,-0.180917689,0.590144527,0.224848837,-1.38027768,-0.880662011,0.095963531,-2.00725054,-0.733206546,NA
118,0.526018061,0.131228449,0.815991016,1.837657047,-0.132801076,0.686639666,0.503752413,-1.409093423,-1.166144447,0.125171988,-2.031042947,-0.71175095,NA
119,0.298893933,0.147999286,0.811653333,1.936324185,0.026479084,0.75231303,0.565673825,-1.359094965,-1.009508376,0.369369634,-2.042736393,-0.855638145,NA
120,0.199685816,0.136856441,0.812822384,2.019863439,-0.086729084,0.701619362,0.667760207,-1.488757423,-0.808151773,0.355829509,-1.673952426,-1.022727668,NA
121,-0.119557573,0.450382888,0.83260152,2.09530333,-0.017121961,0.506307425,0.645745146,-1.369279462,-0.740059552,0.313938141,-1.329016593,-1.056168187,NA
122,-0.11494867,0.596414775,0.693474089,1.908437771,-0.026626555,0.178147556,0.598993399,-1.330428155,-0.554955555,0.372403152,-0.891419208,-1.06707061,NA
